objectid,parentid,filename,title,creator,description,date,archival date,subject,latitude,longitude,source,donor,identifier,rights,standardized rights,item_type,format original,type,format,display_template,object_location,image_small,image_thumb
b7-weeds-005,,b7-Weeds-005.pdf,1997 Noxious Weed Suppression Crew End of the Year Report,"Klimek, Andrew J.","A report of the work done by the boat and weed crews of the Middle Fork Ranger District in 1997 to discover and treat noxious weed growth along the Middle Fork of the Salmon River, Idaho.",1997,1997,infestation; removing; comprehensive plans (reports);Centaurea (genus),45.1028,-114.8517,,Taylor Ranch,b7-Weeds-005,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,text document,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b7-Weeds-005.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b7-weeds-005_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b7-weeds-005_th.jpg
b7-water_streams-006,,b7-Water_Streams-006.pdf,2011-2013 DeVlieg Taylor Graduate Research Assistantship,"Mitchell, Liza",A letter from Liza Mitchell to the DeVlieg Foundation Board giving a progress update on her research.,2012-10,October 2012,correspondence; progress reports; research paperers; field notes,45.1028,-114.8517,,Taylor Ranch,b7-Water_Streams-006,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,text document,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b7-Water_Streams-006.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b7-water_streams-006_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b7-water_streams-006_th.jpg
twrs378,,,248th: Mountain cabin movers,"Movius, A.",,1991,1991,,,,,,,,,,,Text,record,record,,,
b08-photos04,,b08-Photos04.pdf,3-Step Method for Measuring Trend in Range Condition,"Smith, Dwight","A document from Salmon Forest, detailing how to measure trend with example photos for Park Rangers.",1951-08-07,7 August 1951,local history; studies (visual works); guidebooks; rangers (forest),45.54857601,-114.1848501,,Taylor Ranch,b08-Photos04,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b08-Photos04.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b08-photos04_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b08-photos04_th.jpg
twrs270,twrs249,eDeVliegCabinHeliLoad.jpg,"3,500 lb. maximum loads",Janet DeVlieg Pope,"3,500 lb. maximum loads",1985,1985,DeVlieg Cabin; ,45.102587,-114.849884,Janet DeVlieg Pope,Janet DeVlieg Pope,eDeVliegCabinHeliLoad,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,photographs,photographs,Image;StillImage,image/jpeg,image,https://www.lib.uidaho.edu/digital/objects/twrs/eDeVliegCabinHeliLoad.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/small/edevliegcabinheliload_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/edevliegcabinheliload_th.jpg
b4-correspondence-013,,b4-Correspondence-013.pdf,5th World Wilderness Congress Program,World Wilderness Congress,Program for the 5th World Wilderness Congress Symposium on International Wilderness Allocation Management and Research in Tromsø Norway,1993-26-09,9 1993,5th World Wilderness Congress,69.65397478,18.95345147,World Wilderness Congress,,b4-Correspondence-013,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,program,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-Correspondence-013.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-correspondence-013_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-correspondence-013_th.jpg
b08-payettenationalforestliterature37,,b08-PayetteNationalForestLiterature37.pdf,A Baby on Her Hip and a Gun in Her Hand,"Reddy, Sheila D.","Written by Sheila Reddy, this document details the life of Molly Kesler, a pioneer.",1994-04,April 1994,local history; pioneers; biographies (literary works),44.73249827,-115.6052538,Heritage Program,Taylor Ranch,b08-PayetteNationalForestLiterature37,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b08-PayetteNationalForestLiterature37.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b08-payettenationalforestliterature37_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b08-payettenationalforestliterature37_th.jpg
b9-132,,b9-132.pdf,A Campfire Vision: Establishing the Idaho Primitive Area,"Baird, Dennis;Baird, Lynn","A photocopy of ""A Campfire Vision: Establishing the Idaho Primitive Area"" by Dennis and Lynn Baird, published in Journal of the West.",,,homesteads; forestry,,,,Taylor Ranch,,,,research paper,text document,Text,record,record,,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b9-132_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b9-132_th.jpg
twrs504,,AKENSON__J_J_1992_Century_at_Taylor.pdf,A century of Taylor Ranch history,"Akenson, H.",Essay,1992,1992,history; Big Creek; Taylor Ranch sheepeater; Caswell Brothers; ,,,,,"AKENSON, J J 1992 Century at Taylor","In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/AKENSON__J_J_1992_Century_at_Taylor.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/akenson__j_j_1992_century_at_taylor_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/akenson__j_j_1992_century_at_taylor_th.jpg
twrs250,twrs249,DVcabinOldLab.jpg,A closer view towards the Lab building.,Janet DeVlieg Pope,A closer view towards the Lab building.,,,DeVlieg Cabin; ,45.102587,-114.849884,Janet DeVlieg Pope,Janet DeVlieg Pope,DVcabinOldLab,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Image;StillImage,image/jpeg,image,https://www.lib.uidaho.edu/digital/objects/twrs/DVcabinOldLab.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/small/dvcabinoldlab_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/dvcabinoldlab_th.jpg
b2-bats_12,,b2-Bats_12.pdf,A Comparison of Acoustic Versus Capture Techniques for the Inventory of Bats,"O'Farrel, Michael J.;Grannon, William L.",scientific article published in the Journal of Mammalogy comparing bat surveillance techniques,1999-02-16,16 February 1999,"O'Farrel, Michael J.; bats; echolocation; anabat",,,,,b2-Bats_12,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b2-Bats_12.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b2-bats_12_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b2-bats_12_th.jpg
b06-wildernessrecreation25,,b06-WildernessRecreation25.pdf,A Comparison of Genetic Diversity in Selected Insect and Tree Species in Managed and Unmanaged Areas of a ·Northern Idaho Forest,"Stock, Molly W.;Fins, Lauren",A proposal for a research study to assess the inherent genetic diversity in a co-evolved insect/tree system in a northern Idaho forest.,1981-06-01,1 June 1981,land use; ecology; public land,,,,Taylor Ranch,b06-WildernessRecreation25,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,text document,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-WildernessRecreation25.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-wildernessrecreation25_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-wildernessrecreation25_th.jpg
twrs307,,,A GIS Analysis of Wolf and Cougar Predation Within the Big Creek Winter Range Core Area,"Krumpe, B.",,2007,2007,mountain lion;wolves; Big Creek,,,,,,,,,text document,Text,record,record,,,
b06-wildernessrecreation38,,b06-WildernessRecreation38.pdf,A Handbook on the Wilderness Act,"Brandborg, Stewart M.",A portable guide about the contents of the 1964 Wilderness Act created by the Wilderness Society.,1966-05-01,1 May 1966,land use; ecology; public land,,,,Taylor Ranch,b06-WildernessRecreation38,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,text document,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-WildernessRecreation38.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-wildernessrecreation38_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-wildernessrecreation38_th.jpg
twrs614,,Firefighting_Idaho_NF.pdf,A History of Firefighting on the Old Idaho National Forest: 1908-2006,"Akenson, H.",Presentation,2006,2006,history; wildfire; Big Creek; USFS; aviation,,,,,Firefighting Idaho NF,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,presentation,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/Firefighting_Idaho_NF.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/firefighting_idaho_nf_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/firefighting_idaho_nf_th.jpg
b08-airstrip02,,b08-Airstrip02.pdf,A Holocoenotic Study of the Airstrips in the Idaho Primitive Area,"Mitchell, John E.;Schomaker, John H.",John Mitchell's research proposal with professor Schomaker and resumes.,1975-10-06,6 October 1975,"forestry; research paper papernotes; aviation, wildlife;proposals; resumes (personnel records)",45.18610711,-114.5845495,"College of Forestry, Wildlife and Range Sciences",Taylor Ranch,b08-Airstrip02,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b08-Airstrip02.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b08-airstrip02_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b08-airstrip02_th.jpg
twrs405,,,A legacy of wilderness management: a link between two national wilderness management conferences,"Krumpe, Edwin E.",,1990,1990,,,,,,,,,,text document,Text,record,record,,,
twrs572,,Lyon_etal_SocietyFreshwaterScience_Poster_2013.pdf,A Multi-trophic Level Investigation Sheds Light on Long Term Responses of Stream Ecosystems to Wildfire,"Lyon, M.R.; Gardner, T.A.; Schenk, M.V.; Baxter, C.V.",Academic Poster,2013,2013,Idaho State University; fire; riparian; water; hydrology; aquatic insect; fish,,,,Idaho State University,Lyon_etal_SocietyFreshwaterScience_Poster_2013,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,presentation,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/Lyon_etal_SocietyFreshwaterScience_Poster_2013.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/lyon_etal_societyfreshwaterscience_poster_2013_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/lyon_etal_societyfreshwaterscience_poster_2013_th.jpg
b9-163,,b9-163.pdf,A Preliminary Survey of Raptorial Birds in the Idaho Primitive Area,"Thurow, Thomas L.;Peterson, Steven R.","A copy of ""A Preliminary Survey of Raptorial Birds in the Idaho Primitive Area"" by Thomas L. Thurow and Steven R. Peterson.",1977,1977,raptors (birds);surveys (documents),,,,Taylor Ranch,b9-163,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b9-163.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b9-163_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b9-163_th.jpg
b5-snakes-002,,b5-Snakes-002.pdf,A preliminary survey of the rattlesnake (Crotalus viridis) in the Idaho Primitive Area,"Bender, Joel",Project report by Joel Bender on rattlesnakes in the Idaho Primitive Area.,1980-02-03,3 February 1980,snakes (suborder); Idaho Primitive Area,45.18667425,-114.5843779,,Taylor Ranch,b5-Snakes-002,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,text document,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b5-Snakes-002.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b5-snakes-002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b5-snakes-002_th.jpg
b10-098,,b10-098.pdf,"A Projectile Point Typology for the Payette National Forest, Idaho, 3rd Edition","Stoddard, Steven E.","Paper providing reports on Cascade Phase dartpoints found on the Payette National Forest, Idaho.",1996-06,June 1996,native americans; archaeological objects; projectile points; typology,45.10333277,-114.850658,,Taylor Ranch,b10-098,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b10-098.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b10-098_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b10-098_th.jpg
twrs370,,PEEK__1999_Monitoring_Studies.pdf,A proposal to establish a monitoring program for the University of Idaho Taylor Ranch Facility and the adjacent Frank Church River of No Return Wilderness,"Peek, J. M.",Research Report,1999-03,March 1999,Big Creek; Taylor Ranch Frank Church River of No Return Wilderness,,,,,"PEEK, 1999 Monitoring Studies","In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,proposal,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/PEEK__1999_Monitoring_Studies.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/peek__1999_monitoring_studies_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/peek__1999_monitoring_studies_th.jpg
b2-beaver-001,,b2-Beaver-001.pdf,"A Proposal to Study Beaver Distribution, Abundance, and Habitat Characteristics Along Big Creek Drainage","Haley, Keith ",proposal to study Big Creek beaver population within the Idaho Primitive Area,1979-03-15,15 March 1979,beavers; Taylor Ranch Big Creek; Monument Creek; Idaho Primitive Area,45.160031,-115.130186,,,b2-Beaver-001,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,proposal,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b2-Beaver-001.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b2-beaver-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b2-beaver-001_th.jpg
