objectid,filename,title,creator,description,date,date_is_approximate,subject,source,identifier,digital_source,format_original,format,type,rights,rightsstatement,language,display_template,object_location,image_small,image_thumb,youtubeid
mg5758_003,mg5758_003.pdf,"""The Uncrowned King"" by Jennie Eva Hughes",Jennie Eva Hughes,"This speech won her the medal oration on April 15, 1898 at University of Idaho.",1898-04-15,,Jennie Eva Hughes,,mg5758_003,,,application/pdf,text,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/mg5758_003.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/mg5758_003_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/mg5758_003_th.jpg,
mg5758_004,mg5758_004.pdf,Spokesman article about Jennie Eva Hughes' oration win,The Spokesman-Review,Spokesman-Review article about the oratorical event event and Jennie Eva Hughes' win.,1898,yes,Jennie Eva Hughes,,mg5758_004,,,application/pdf,text,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/mg5758_004.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/mg5758_004_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/mg5758_004_th.jpg,
pg2_110_1,pg2_110_1.jpg,University of Idaho class of 1899,,"Back row (left to right): Fred Merriam, Clara Playfair, Eva Nichols, Clem Herbert, Guy Wolfe, Ava Sweet, Fred Moore. Front row (left to right): Kate Hanley, Maude Mix, Charles Armstrong, Will Stillinger, Jennie Eva Hughes, Gilbert Hogue.",1898,yes,Jennie Eva Hughes,,pg2_110_1,,,image/jpeg,image;stillimage,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,image,https://www.lib.uidaho.edu/blackhistory/objects/pg2_110_1.jpg,https://www.lib.uidaho.edu/blackhistory/objects/small/pg2_110_1_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/pg2_110_1_th.jpg,
ma2000_29_001,ma2000_29_001.pdf,Jennie Eva Hughes' 1898 registration card at University of Idaho,,Jennie Eva Hughes' registration card for 1899 for the University of Idaho.,1898-09-23,,Jennie Eva Hughes,,ma2000_29_001,,,application/pdf,text,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ma2000_29_001.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ma2000_29_001_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ma2000_29_001_th.jpg,
ma2000_29_002,ma2000_29_002.pdf,Jennie Eva Hughes' 1899 registration card at University of Idaho,,Jennie Eva Hughes' registration card for 1898 for the University of Idaho.,1899-02-15,,Jennie Eva Hughes,,ma2000_29_002,,,application/pdf,text,"In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ma2000_29_002.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ma2000_29_002_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ma2000_29_002_th.jpg,
bsuhousing,bsuhousing.pdf,Memorandum regarding Black Student Union use of basement and main floor of the Canterbury Center,Tom Richardson,Memorandum from Tom Richardson to Ed Stohs concerning the temporary reassignment of Canterbury Center for BSU.,1973-03-15,,Black Student Union,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/bsuhousing.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/bsuhousing_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/bsuhousing_th.jpg,
bsuhousing2,bsuhousing2.pdf,Correspondence regarding Black Student Union's fiscal responsibility,Tom Richardson,Memorandum from Tom Richardson to Eddie Robinson and Jay Wheeler concerning the university's relationship to the Black Student Union and concerns about BSU's state of operations.,1972-04-07,,Black Student Union,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/bsuhousing2.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/bsuhousing2_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/bsuhousing2_th.jpg,
offensereport,offensereport.pdf,Memorandum regarding an offense report,Tom Richardson,"Memorandum from Tom Richardson to Corky Bush and Bernard Hamilton concerning the ""misappropriated goods"" found in the BSU",1973-02-14,,Black Student Union,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/offensereport.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/offensereport_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/offensereport_th.jpg,
spaceallocation,spaceallocation.pdf,Memorandum and attached request regarding space for the Black Student Union,Tom Richardson; Black Student Union; Malcolm Smith,Memorandum from Tom Richardson to Matt Tellin concerning the commitments made to BSU and minority programs for space allocation. Attached is a copy of said request from the BSU to Matt Tellin.,1973-02-28,,Black Student Union,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/spaceallocation.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/spaceallocation_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/spaceallocation_th.jpg,
h1,h1.pdf,Memorandum from ad hoc Committee on Ethnic Understanding listing a schedule for meetings,Corlann Bush; Siegfried Rolland; Jean Hill; Harry Davey; Mary Ruth Mann; Jesse Craig; Robert Coonrod; Loren Dantzler,Memorandum from the Ad Hoc committee on ethnic understanding with a schedule listing meetings over a two day period.,1971-03-11,,Black Studies,,"UG 13, Box 14, Folder 331",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h1.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h1_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h1_th.jpg,
h2,h2.pdf,Memorandum regarding budgeting Black Studies' funds,Robert W. Coonrod,"Memorandum from Robert W. Coonrod to Joe Watts discussing the allocation of $2000.  Also includes recommendations for funds with $1,490 to purchasing books; $410 to audio-visual service; and $100 to the History Department for one to two speaker stipends.",1970-12-18,,Black Studies,,"UG 13, Box 14, Folder 331",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h2.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h2_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h2_th.jpg,
h3,h3.pdf,Memorandum regarding apportionment of funds for Negro History Course,Siegfried B. Rolland; Willard Barnes,"Memorandum discussing the breakdown of the current History Department for ""Negro History"" course budget with new allocation of funds towards library and audio-visual. There are handwritten notes of the new revised budget for the course toward the bottom of the document.",1970-12-08,,Black Studies,,"UG 13, Box 14, Folder 331",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h3.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h3_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h3_th.jpg,
h10,h10.pdf,Budget request for other expenses for fiscal year 1972-1973,,Budget request form for other expense for the 1972-1973 fiscal year. Handwritten notes with requests for Black Studies programs are on the bottom of the document.,1972,yes,Black Studies,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h10.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h10_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h10_th.jpg,
h11,h11.pdf,Budget request for equipment and other capital outlay for fiscal year 1972-1973,,"Budget request form for other expense for fiscal year 1972-1973. Handwritten notes for $150 for bookcases requested and $5,000 for Black Studies library.",1972,yes,Black Studies,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h11.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h11_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h11_th.jpg,
h12,h12.pdf,University of Idaho summary of budget request for fiscal year 1972-73,,Blank form for University of Idaho summary of budget request for 1972-1973.,1972,yes,Black Studies,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h12.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h12_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h12_th.jpg,
h16,h16.pdf,Memorandum regarding Black Studies funds,Robert W. Coonrod,"Memorandum from Robert W. Coonrod to the Business Office with a request to transfer of $1,000 from the Office of Intercultural Programs to Dean of Letters and Science to fund Black Studies Courses for the 1971-1972 academic year.",1971-06-10,,Black Studies,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h16.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h16_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h16_th.jpg,
h17,h17.pdf,"Memorandum regarding budget for ""Black Studies"" courses",Siegfried B. Rolland,Memorandum from Siegfried B. Rolland to Robert W. Coonrod regarding a $1000 transfer for Negro history and Black literature courses.,1971-06-02,,Black Studies,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h17.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h17_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h17_th.jpg,
h22,h22.pdf,Memorandum regarding co-ordinator for Black Student Union from S.B. Rolland to Bob Coonrod,Siegfried B. Rolland,"Memorandum discussing meeting with Professor Willard Barnes, Ron Bruce (a Black student), and Eddie Robinson to discuss Robinson's consideration for a scholarship to coordinate BSU activities. Rolland backs Robinson's application to scholarship and includes questions in regard to the creation of BSU coordinator position.",1971-06-01,,Black Student Union,,"UG 13, Box 15, Folder 364",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h22.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h22_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h22_th.jpg,
h28,h28.pdf,"Memorandum regarding Black student recruitment: ""Financial Aids""",Sherman Carter; Charles O. Decker,"Memorandum from Dr. Sherman Carter and Charles O. Decker to Ernest Hartung concerning ""Black Student Recruitment: 'Financial aids'.""  Lists financial aid packages for several Black students.",1970-12-15,,Black Student Recruitment; Affirmative Action,,"UG 13, Box 15, Folder 364",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h28.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h28_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h28_th.jpg,
h29,h29.pdf,Correspondence from Charles O. Decker to Black student recruiters regarding financial aids,Charles O. Decker,Memorandum to Black student recruiters concerning basic information for financial aid for five students during the second semester of the 1970-1971 academic year.,1970-12-11,,Black Student Recruitment; Affirmative Action,,"UG 13, Box 15, Folder 364",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h29.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h29_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h29_th.jpg,
h33,h33.pdf,Memorandum from Sherman Carter to Charles O. Decker regarding a previous memorandum about financial aids,Sherman Carter,"Memorandum applauding a previous memorandum from Decker on Dec 11, 1970 and committing to help in the offering of five $1,300 packages for financial aid.",1970-12-23,,Black Student Recruitment; Affirmative Action,,"UG 13, Box 15, Folder 364",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h33.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h33_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h33_th.jpg,
h19,h19.pdf,Handwritten memorandum regarding New Interinstitutional Study Council,J. H. Sullivan,Handwritten memorandum to Vice President Coonrod from J. H. Sullivan requesting Coonrod to look over proposal.,1971-05-12,,Black Studies,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h19.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h19_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h19_th.jpg,
h20,h20.pdf,Correspondence to the members of the Pacific Northwest Intercultural Study Council,G. A. Haas,Letter from Whitworth College noting three attached copies of the Pacific Northwest Intercultural Study Council and notes a conflict with Amendment VII.,1971-04-04,,Black Studies,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h20.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h20_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h20_th.jpg,
h21,h21.pdf,Pacific Northwest Intercultural Study Council memorandum of agreement,,Blank Pacific Northwest Intercultural Study Council memorandum of agreement form.,1971,y,Black Studies,,,,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h21.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h21_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h21_th.jpg,
