notes,objectid,parentid,identifier,title,interviewee,lastname,firstname,interviewer,signed_release,duration,transcriber,creator,creation_date,date,description,object_transcript,subject,location,latitude,longitude,source,filename,type,format,language,rights,rightsstatement,fileid,youtubeid,collectionid,cdmid,display_template,object_location,image_small,image_thumb,object_thumb,reference_url
,otherfaces011,otherfaces010,MG390_T41_01,Lew Family Oral History Interview Video 1,Marie Lew,Lew,Marie,,yes,0:59:28,Transcribed by Otter.AI. Note that transcript was produced by Otter.ai and may contain discrepancies. University of Idaho Special Collections and Archives is currently working to polish and clean up all transcripts in this collection.,,,,,objects/mg390_t41_01_transcript.md,Asian-American; Chinese-American; racial discrimination; education; family life; communities (social groups); group identity; culture (concept); marriage (social construct);,"Moscow, Idaho",46.731304,-117.000265,"Lily Wai Committee papers, MG 390, University of Idaho Library Special Collections and Archives",MG390_T41_01.mp4,Image;MovingImage,video/mp4,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,MG390_T41_01.mp4,bfZzEt3SJeE,,,video,https://youtu.be/bfZzEt3SJeE,https://img.youtube.com/vi/bfZzEt3SJeE/hqdefault.jpg,https://img.youtube.com/vi/bfZzEt3SJeE/mqdefault.jpg,,
,otherfaces012,otherfaces010,MG390_T42_02,Lew Family Oral History Interview Video 2,Marie Lew,Lew,Marie,,yes,0:58:08,Transcribed by Otter.AI. Note that transcript was produced by Otter.ai and may contain discrepancies. University of Idaho Special Collections and Archives is currently working to polish and clean up all transcripts in this collection.,,,,,objects/mg390_t42_02_transcript.md,Asian-American; Chinese-American; racial discrimination; education; family life; communities (social groups); group identity; culture (concept); marriage (social construct);,"Moscow, Idaho",46.731304,-117.000265,"Lily Wai Committee papers, MG 390, University of Idaho Library Special Collections and Archives",MG390_T42_02.mp4,Image;MovingImage,video/mp4,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,MG390_T42_02.mp4,1CJGYDpq3q8,,,video,https://youtu.be/1CJGYDpq3q8,https://img.youtube.com/vi/1CJGYDpq3q8/hqdefault.jpg,https://img.youtube.com/vi/1CJGYDpq3q8/mqdefault.jpg,,
,otherfaces013,otherfaces010,MG390_T43_03,Lew Family Oral History Interview Video 3,Marie Lew,Lew,Marie,,yes,0:19:33,Transcribed by Otter.AI. Note that transcript was produced by Otter.ai and may contain discrepancies. University of Idaho Special Collections and Archives is currently working to polish and clean up all transcripts in this collection.,,,,,objects/mg390_t43_03_transcript.md,Asian-American; Chinese-American; racial discrimination; education; family life; communities (social groups); group identity; culture (concept); marriage (social construct);,"Moscow, Idaho",46.731304,-117.000265,"Lily Wai Committee papers, MG 390, University of Idaho Library Special Collections and Archives",MG390_T43_03.mp4,Image;MovingImage,video/mp4,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,MG390_T43_03.mp4,QoaT_bAHkaU,,,video,https://youtu.be/QoaT_bAHkaU,https://img.youtube.com/vi/QoaT_bAHkaU/hqdefault.jpg,https://img.youtube.com/vi/QoaT_bAHkaU/mqdefault.jpg,,
,otherfaces014,,,Okamura Family,,,,,,,Transcribed by Otter.AI. Note that transcript was produced by Otter.ai and may contain discrepancies. University of Idaho Special Collections and Archives is currently working to polish and clean up all transcripts in this collection.,,,,"Video interview of a Japanese-American couple. The couple talks about their childhood, family life, farming, and life during World War II.",,,,,,,,record,compound_object,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,,,compound_object,,https://img.youtube.com/vi/cCOTfP4J_vY/hqdefault.jpg,https://img.youtube.com/vi/cCOTfP4J_vY/mqdefault.jpg,,
,otherfaces015,otherfaces014,MG390_T26_Pokey_06,Okamura Family Oral History Interview Video 1,"Okamura, Paul and Sanaye ",Okamura,Paul and Sanaye,,yes,0:17:49,Transcribed by Otter.AI. Note that transcript was produced by Otter.ai and may contain discrepancies. University of Idaho Special Collections and Archives is currently working to polish and clean up all transcripts in this collection.,,,,"Video interview of a Japanese-American couple.  The man talks about how his father was killed in an automobile accident, his family life, life in Pocatello, experience of World War II, and how his family came to Idaho.",objects/mg390_t26_pokey_06_transcript.md,immigration; farming (activity or system); communities (social groups); Japanese-American; Asian-American; racial discrimination;,"Pocatello, Idaho",42.8615307,-112.4582449,"Lily Wai Committee papers, MG 390, University of Idaho Library Special Collections and Archives",MG390_T26_Pokey_06.mp4,Image;MovingImage,video/mp4,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,MG390_T26_Pokey_06.mp4,LpSCUbyrb74,,,video,https://youtu.be/LpSCUbyrb74,https://img.youtube.com/vi/LpSCUbyrb74/hqdefault.jpg,https://img.youtube.com/vi/LpSCUbyrb74/mqdefault.jpg,,
,otherfaces016,otherfaces014,MG390_T27_Pokey_07,Okamura Family Oral History Interview Video 2,"Okamura, Paul and Sanaye ",Okamura,Paul and Sanaye,,yes,0:22:15,Transcribed by Otter.AI. Note that transcript was produced by Otter.ai and may contain discrepancies. University of Idaho Special Collections and Archives is currently working to polish and clean up all transcripts in this collection.,,,,"Video interview of a Japanese-American couple. The woman talks about her family history, education and teaching, courtship, and her children.",objects/mg390_t27_pokey_07_transcript.md,immigration; farming (activity or system); communities (social groups); Japanese-American; Asian-American; racial discrimination; education; teaching; Japanese (culture or style);,"Pocatello, Idaho",42.8615307,-112.4582449,"Lily Wai Committee papers, MG 390, University of Idaho Library Special Collections and Archives",MG390_T27_Pokey_07.mp4,Image;MovingImage,video/mp4,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,MG390_T27_Pokey_07.mp4,cCOTfP4J_vY,,,video,https://youtu.be/cCOTfP4J_vY,https://img.youtube.com/vi/cCOTfP4J_vY/hqdefault.jpg,https://img.youtube.com/vi/cCOTfP4J_vY/mqdefault.jpg,,
,otherfaces017,otherfaces014,MG390_T28_Pokey_08,Okamura Family Oral History Interview Video 3,"Okamura, Paul and Sanaye ",Okamura,Paul and Sanaye,,yes,0:21:43,Transcribed by Otter.AI. Note that transcript was produced by Otter.ai and may contain discrepancies. University of Idaho Special Collections and Archives is currently working to polish and clean up all transcripts in this collection.,,,,Video interview of a Japanese-American couple. They talk about why their families chose to move and live in Pocatello. They also talk about other Asian-American families in Pocatello and the community during World War II. The wife talks abou the generational differences between Issei and Nisei. ,objects/mg390_t28_pokey_08_transcript.md,immigration; farming (activity or system); communities (social groups); Japanese-American; Asian-American; racial discrimination; education; teaching; Japanese (culture or style); immigration; family life;,"Pocatello, Idaho",42.8615307,-112.4582449,"Lily Wai Committee papers, MG 390, University of Idaho Library Special Collections and Archives",MG390_T28_Pokey_08.mp4,Image;MovingImage,video/mp4,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,MG390_T28_Pokey_08.mp4,h31Ms39_lK0,,,video,https://youtu.be/h31Ms39_lK0,https://img.youtube.com/vi/h31Ms39_lK0/hqdefault.jpg,https://img.youtube.com/vi/h31Ms39_lK0/mqdefault.jpg,,
,otherfaces018,otherfaces014,MG390_T29_Pokey_09,Okamura Family Oral History Interview Video 4,"Okamura, Paul and Sanaye ",Okamura,Paul and Sanaye,,yes,0:21:59,Transcribed by Otter.AI. Revised by Zoe Stave.,,,,"Video interview of a Japanese-American couple. The woman talks about generational differences between Issei and Nisei, the JACL (Japanese American Citizens League), and the Pocatello community. The couple talks about the change in JACL membership over the years. The woman talks about how her Japanese heritage may have affected her teaching style.",objects/mg390_t29_pokey_09_transcript_revised.md,immigration; clubs (associations); communities (social groups); Asian-American; Japanese-American; culture (concept); marriage (social construct); teaching; education;,"Pocatello, Idaho",42.8615307,-112.4582449,"Lily Wai Committee papers, MG 390, University of Idaho Library Special Collections and Archives",MG390_T29_Pokey_09.mp4,Image;MovingImage,video/mp4,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,MG390_T29_Pokey_09.mp4,j7tWZbLHCFo,,,video,https://youtu.be/j7tWZbLHCFo,https://img.youtube.com/vi/j7tWZbLHCFo/hqdefault.jpg,https://img.youtube.com/vi/j7tWZbLHCFo/mqdefault.jpg,,
,otherfaces019,otherfaces014,MG390_T30_Pokey_10,Okamura Family Oral History Interview Video 5,"Okamura, Paul and Sanaye ",Okamura,Paul and Sanaye,,yes,0:08:19,Transcribed by Otter.AI. Revised by Zoe Stave.,,,,"Video footage of photographs, cultural items, and the inside of the couple's home.",objects/mg390_t30_pokey_10_transcript_revised.md,family life; Japanese-American; farming (activity or system); childhood;,"Pocatello, Idaho",42.8615307,-112.4582449,"Lily Wai Committee papers, MG 390, University of Idaho Library Special Collections and Archives",MG390_T30_Pokey_10.mp4,Image;MovingImage,video/mp4,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,MG390_T30_Pokey_10.mp4,ROm8_pQF7PU,,,video,https://youtu.be/ROm8_pQF7PU,https://img.youtube.com/vi/ROm8_pQF7PU/hqdefault.jpg,https://img.youtube.com/vi/ROm8_pQF7PU/mqdefault.jpg,,
,otherfaces020,,,Suenaga Family,,,,,,,Transcribed by Otter.AI. Revised by Zoe Stave.,,,,"Video interview of a Japanese-American family in their home. The family talks about their family life and values, life in Idaho as Asian-Americans.",,,,,,,,record,compound_object,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,,,compound_object,,https://img.youtube.com/vi/O4pSRLW_lhQ/hqdefault.jpg,https://img.youtube.com/vi/O4pSRLW_lhQ/mqdefault.jpg,,
,otherfaces021,otherfaces020,MG390_T21_Pokey_01,Suenaga Family Oral History Interview Video 1,Suenaga,Suenaga,,,yes,0:21:31,Transcribed by Otter.AI. Revised by Zoe Stave.,,,,"Video interview of a Japanese-American family in their home. The family talks about their family life and values, life in Idaho as Asian-Americans, coincidentally avoiding Pearl Harbor, the internment camps during World War II, and immigration from Hawaii and Japan. This video segment consists mainly of the father of the family.  ",objects/mg390_t21_pokey_01_transcript_revised.md,farming (activity or system); immigration; family life; Asian-American; Japanese-American; communities (social groups); racial discrimination; citizenship; armed forces; education; concentration camps;,"Pocatello, Idaho",42.8615307,-112.4582449,"Lily Wai Committee papers, MG 390, University of Idaho Library Special Collections and Archives",MG390_T21_Pokey_01.mp4,Image;MovingImage,video/mp4,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,MG390_T21_Pokey_01.mp4,6qC_zfqJSYs,,,video,https://youtu.be/6qC_zfqJSYs,https://img.youtube.com/vi/6qC_zfqJSYs/hqdefault.jpg,https://img.youtube.com/vi/6qC_zfqJSYs/mqdefault.jpg,,
,otherfaces022,otherfaces020,MG390_T22_Pokey_02,Suenaga Family Oral History Interview Video 2,Suenaga,Suenaga,,,yes,0:20:08,Transcribed by Otter.AI. Revised by Zoe Stave.,,,,Video interview of a Japanese-American family in their home. This video segment of the interview includes the wife and the husband's courtship story. There are some stories of racial discrimination. The husband talks about how the United States government assumed he was a Japanese government spy.  ,objects/mg390_t22_pokey_02_transcript_revised.md,farming (activity or system); immigration; family life; Asian-American; Japanese-American; communities (social groups); racial discrimination; citizenship; education; marriage (social construct); dancing (activity);,"Pocatello, Idaho",42.8615307,-112.4582449,"Lily Wai Committee papers, MG 390, University of Idaho Library Special Collections and Archives",MG390_T22_Pokey_02.mp4,Image;MovingImage,video/mp4,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,MG390_T22_Pokey_02.mp4,O4pSRLW_lhQ,,,video,https://youtu.be/O4pSRLW_lhQ,https://img.youtube.com/vi/O4pSRLW_lhQ/hqdefault.jpg,https://img.youtube.com/vi/O4pSRLW_lhQ/mqdefault.jpg,,
,otherfaces023,otherfaces020,MG390_T23_Pokey_03,Suenaga Family Oral History Interview Video 3,Suenaga,Suenaga,,,yes,0:18:47,Transcribed by Otter.AI. Revised by Zoe Stave.,,,,"Video interview of a Japanese-American family in their home. The family discusses their recreational activities, racial discrimination, the community of Pocatello, and the differences that they see from before and after World War II. The wife talks about her family's background, her dancing career in Hollywood and Idaho, her childhood, and her personal life. Their son talked about his family life and upbringing, his experiences as an Asian-American in Idaho, and adulthood. ",objects/mg390_t23_pokey_03_transcript_revised.md,racial discrimination; Japanese-American; culture (concept); communities (social groups); depression (economic concept); dancing (activity); teaching; education; childhood; family life; clubs (associations);,"Pocatello, Idaho",42.8615307,-112.4582449,"Lily Wai Committee papers, MG 390, University of Idaho Library Special Collections and Archives",MG390_T23_Pokey_03.mp4,Image;MovingImage,video/mp4,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,MG390_T23_Pokey_03.mp4,Vkz4_Akdvug,,,video,https://youtu.be/Vkz4_Akdvug,https://img.youtube.com/vi/Vkz4_Akdvug/hqdefault.jpg,https://img.youtube.com/vi/Vkz4_Akdvug/mqdefault.jpg,,
